,dIMP,nSample,stdIMP
14016,9.444444444444445,99.0,12.001870411657789
14080,6.627450980392157,102.0,14.153168819036466
14144,7.614678899082569,109.0,13.315444751625513
14208,8.339285714285714,112.0,12.531071077403512
14272,7.145631067961165,103.0,12.524467523119519
14336,6.705882352941177,102.0,15.025199900986028
14400,8.245454545454546,110.0,11.94775472526979
14464,7.574257425742574,101.0,12.491063367565783
14528,9.058823529411764,102.0,12.229683857049125
14592,8.585585585585585,111.0,11.960496892619085
14656,8.027272727272727,110.0,12.093919652535462
14720,8.305555555555555,108.0,12.111716345733424
14784,7.615384615384615,104.0,13.073981569622937
14848,6.805825242718447,103.0,12.835068959408083
14912,8.89090909090909,110.0,11.460085240477413
14976,10.538461538461538,104.0,9.883867077331974
15040,7.028301886792453,106.0,13.293108973186646
15104,9.842592592592593,108.0,10.93343668399411
15168,9.247619047619047,105.0,12.5605436281965
15232,9.678260869565218,115.0,11.563471591018631
